Sentences,Labels
is origin gametophytic tissue ,DESC:desc
does aaron mean ,DESC:def
is fear hair ,ENTY:dismed
is name pop singer whose song became the theme song a brand catsup ,HUM:ind
is conifer ,DESC:def
claimed be world s perfectly-developed man ,HUM:ind
is different the red black fox ,DESC:desc
is e-commerce ,DESC:def
do tie tie ,DESC:manner
can get cotton textiles importer details ,LOC:other
did spain korea start ambassadorial relations ,NUM:date
kind people took part shays  rebellion massachusetts 1787 ,HUM:gr
is chromatology ,DESC:def
many grooves on dime s edge ,NUM:count
was aclu formed ,DESC:manner
are most albums sold one artist band ,ENTY:cremat
second popular sport worldwide what ,ENTY:sport
do goldfish lose kept dimly-lit running water ,ENTY:other
canal the thatcher ferry bridge span ,LOC:other
american won world grand prix driving championship 1978 ,HUM:ind
are chances pregnacy penis not penetrate the vagina ,NUM:perc
s highest hand straight poker ,ENTY:other
can find lesson plan teaching metric system conversion american standard ,LOC:other
is name kevin costner s movie sioux indians ,ENTY:cremat
are kythnos  siphnos  seriphos mykonos ,DESC:def
name female figure skater .,HUM:ind
are no white lines pro footballs ,DESC:reason
long it take a $ savings bond mature ,NUM:period
is abigail arcane related the villainous opponent the swamp thing ,DESC:manner
did congress vienna establish ,ENTY:other
is average cost four years medical school ,NUM:money
harmful chemicals in bug spray ,ENTY:substance
many spears there kenya s flag ,NUM:count
did mighty mouse always sing he went action ,DESC:desc
did george the jungle live ,LOC:other
did bob marley die ,DESC:manner
s men s par a 455-yard golf hole ,NUM:other
percentage american men alcoholic ,NUM:perc
dialing  900  740-tree have tree planted will cost much ,NUM:money
south korea  many american soldiers there ,NUM:count
portrayed carl bernstein all president s men ,HUM:ind
are numbers fit fermont s last theorem ,NUM:other
was tiny tim s father ,HUM:ind
does heliologist study ,ENTY:other
was bonnie blue butler s father ,HUM:ind
shampoo prevents eczema  seborrhea  psoriasis ,ENTY:product
many americans hiv ,NUM:count
do find information foreclosure properties the internet ,LOC:other
is antichrist ,HUM:ind
was first english play written exclusively children ,ENTY:cremat
latin american country the largest ,LOC:country
was former residence scottish kings edinburgh ,LOC:other
many teats a female goat sport ,NUM:count
tall kilamanjaro ,NUM:dist
was lawyer represented randy steven craft ,HUM:ind
country buys 25 percent the world s tea exports ,LOC:country
country origin the band the creeps ,LOC:country
did crocodile swallow peter pan ,ENTY:other
is origin the word  mushroom  ,DESC:desc
of following celebrities not born philadelphia ,HUM:ind
is number american soldiers deployed south korea ,NUM:other
is biggest bell ,LOC:other
is brand name the chemical daminozide ,ENTY:product
do microwaves work ,DESC:manner
magazine paid ernest hemingway $15 word write bullfighting article ,ENTY:cremat
is estimated total u.s. whitetail deer population ,NUM:count
wrote farmer s almanac ,HUM:ind
animal received royal assent an emblem canada march 24  1975 ,ENTY:animal
number at 12 o clock a dartboard ,NUM:other
team won super bowl 1968 ,HUM:gr
is recommended daily requirement folic acid pregnant women ,DESC:desc
film dramatized scopes monkey trial ,ENTY:cremat
cnn owned whom ,HUM:ind
country offered albert einstein presidency 1952 ,LOC:country
is highest roman numeral ,DESC:def
tv series saw many its aquatic scenes shot silver springs  florida ,ENTY:cremat
was 15th century fire-and-brimstone monk gained control florence ended burnt the stake ,HUM:ind
is digital audio used ,DESC:manner
is afs ,ABBR:exp
was quetzalcoatl ,HUM:desc
operating system ibm-compatible machines use ,ENTY:product
french leader sold louisiana the united states ,HUM:ind
bay sparkles next miami  florida ,LOC:other
many miles veins in circulatory system ,NUM:count
famed river flows bagdad ,LOC:other
is bubble wrap made ,DESC:manner
is java ,DESC:def
is prime minister japan ,HUM:ind
player squats average 3 times a baseball doubleheader ,HUM:ind
s most common name nursery rhymes ,HUM:ind
many   answers the s line  panel allowed ,NUM:count
is fine having dog a beach ,NUM:money
wrote book   song solomon  ,HUM:ind
can one find information religion health  brain nutrition ,LOC:other
name ranger was always yogi bear .,HUM:ind
tv show john sebastian sing theme ,ENTY:cremat
is president the spanish government ,HUM:ind
holds career record the major league home runs ,HUM:ind
of following actors worked new york s yiddish theater ,HUM:ind
invented stethoscope ,HUM:ind
is mathematical factor ,DESC:def
many four star generals there who they ,NUM:count
did nixon die ,NUM:date
was originally defined one 1-millionth the distance the equator the pole ,ENTY:termeq
comedian hit tv screen 1951 the nbc afternoon show time ernie ,HUM:ind
many members in california congressional delegation ,NUM:count
erupts every hour yellowstone national park ,LOC:other
country contains highest point south america ,LOC:country
are arnold palmer s fans called ,HUM:ind
retired 755 home runs his credit ,HUM:ind
constellation represents hunter club shield ,LOC:other
developed potlatch ,HUM:ind
long shea gould practice law los angeles ,NUM:period
s perfect score a gymnastics exercise ,NUM:other
group included abbey hoffman  jerry rubin  tom hayden ,HUM:gr
made jane goodall famous ,DESC:reason
what age rossini stop writing opera ,NUM:period
russian seaport a name meaning  lord the east  ,LOC:city
name two actress daughters john mills .,HUM:ind
old gene siskel ,NUM:period
can done snoring ,DESC:desc
rocky mountain ridge separates north america s eastward westward-flowing rivers ,LOC:mount
is actress bette davis said wished looked like ,HUM:ind
portrayed cowardly lion the wizard oz ,HUM:ind
does chiropodist treat ,ENTY:dismed
is porphyria ,DESC:def
gate opened east west berlin ,LOC:other
was first king england ,HUM:ind
made finger lakes western new york state ,DESC:reason
what movie the number nine found the title ,ENTY:cremat
many calories there soy sauce ,NUM:count
killed kurt cobain ,HUM:ind
created monster mary shelley s novel frankenstein ,HUM:ind
s farthest planet the sun ,LOC:other
does sun shine a short time alaska ,DESC:reason
chemical red wine good the heart what exactly it to body ,ENTY:dismed
does blood clot ,DESC:manner
big our galaxy diameter ,NUM:volsize
product  doubles pleasure  doubles fun  ,ENTY:product
is woman fertile ,NUM:date
son a 15-year-old mexican girl a half-irish father became world s famous greek ,HUM:ind
was first man return space ,HUM:ind
brand jeans calvin klein admit a 1984 interview felt comfortable wearing ,ENTY:product
gave abbie hoffman first dose lsd ,HUM:ind
effect friction on perpetual motion ,DESC:desc
did seven dwarfs for living ,HUM:title
4-foot-9 actress 1984 became first performer win oscar playing character the opposite sex ,HUM:ind
shot billy kid ,HUM:ind
is doing now ,DESC:desc
mormon leader said have 27 wives ,HUM:ind
video format an alternative vhs ,ENTY:other
did term  69  come ,DESC:desc
is money made ,ENTY:substance
s name a hotel indianapolis ,LOC:other
many people tucson ,NUM:count
is melbourne ,LOC:other
whom bush compare saddam hussein ,HUM:ind
country mikhail gorbachev leader ,LOC:country
is recommended weight a 15 year-old male is 5  6 ,NUM:weight
pillar dutch renaissance painted aristotle contemplating the bust homer ,HUM:ind
is largest county size massachusetts ,LOC:other
is name the brilliant british economist behind creation ,HUM:ind
played sally rogers the dick van dyke show ,HUM:ind
is like experience near death episode ,DESC:desc
mythical figure carries hourglass a scythe ,HUM:ind
much a canadian 1967 twenty dollar gold coin worth ,NUM:money
didn t european colonial rule spread after first second industrial revolutions ,DESC:reason
natural attractions draw most visitors the united states ,LOC:other
presidential administration challenged americans explore new frontier ,HUM:gr
many years sleeping beauty sleep ,NUM:count
long it take body restore blood you donate your blood ,NUM:period
do know someone truly love me ,DESC:manner
many numbered vats scotch judged best a panel of experts 1863 ,ENTY:food
is literary criticism ,DESC:def
do throw housewarming party ,DESC:manner
international sport originally called hurley ,ENTY:sport
river runs liverpool ,LOC:other
famous british actor lost voice an operation 1966 ,HUM:ind
does term 3 mean a newspaper editor ,DESC:def
company makes impulse hardening equipment ,HUM:gr
country kim philby really working ,LOC:country
does freddy freeman say become captain marvel jr. ,DESC:desc
country hitler chancellor ,LOC:country
is rona barrett s married name ,HUM:ind
many years make a lustrum ,NUM:count
are close encounters the first second kind ,ENTY:other
is mathematician won noble prize literature 1950 ,HUM:ind
glamorous actress a close friend dick tracy ,HUM:ind
1956 grace metalious novel on best-seller list two years ,ENTY:cremat
name three races unleashed the celestials marvel comics .,HUM:gr
old the italian artist maurizio pellegrin ,NUM:period
president hit jogging paths enhance athletic image  sporting no. 39  almost collapsed the road race ,HUM:ind
is distinction erle stanley gardner s case the terrified typist ,DESC:desc
north american city you visit see cleopatra s needle ,LOC:city
was nfl established ,NUM:date
can find ask expert site ,LOC:other
writer-journalist made mark describing colorful broadway underworld characters ,HUM:ind
u.s. state the lowest highest elevation 6 feet ,LOC:state
are residents the island lesbos called ,HUM:gr
is organizational structure the new delhi indira gandhi airport ,ENTY:other
christmas time  is traditional thing do the mistletoe ,ENTY:other
baseball great plugged mr. coffee ,HUM:ind
international amateur sports spectacle first telecast 1956 ,ENTY:sport
is origin the word  amen  ,DESC:desc
s baby sweet pea the popeye cartoon ,HUM:ind
is mile high stadium ,LOC:other
were baffin  frobisher franklin looking ,ENTY:other
is limbo ,DESC:def
city contains district hell s kitchen ,LOC:city
interesting method used run credits the early popeye cartoons ,ENTY:techmeth
are stars made ,ENTY:substance
english physician born january 18  1779 went to create two important inventions ,HUM:ind
did arthur h. bremer try assassinate may 15  1972 ,HUM:ind
fast must spacecraft travel escape earth s gravity ,NUM:speed
apostle taylor caldwell s great lion god ,HUM:ind
many rings there a five-zone archery target ,NUM:count
anesthetic queen victoria allow be used the birth her seventh child  1853 ,ENTY:dismed
element  the periodic table  gas a solid  never a liquid ,ENTY:substance
is tonne ,DESC:def
one the great lakes entirely within u.s. territory ,LOC:other
is deet ,ABBR:exp
company sells most greeting cards ,HUM:gr
u.s. state sagebrush its state flower ,LOC:state
is bernoulli principle ,DESC:def
s comic strip photographer peter parker s secret identity ,HUM:ind
is difference a poster a print ,DESC:desc
which sport there  scrum  ,ENTY:sport
are best ways improve employee morale low cost ,ENTY:techmeth
nationality pope john paul ii ,LOC:country
is false consciousness ,DESC:def
did great depression affect japan s history ,DESC:manner
side bowler facing a 37803 split hit 3-pin on-the left the right ,ENTY:other
are great educational resources parents teachers ,LOC:other
many israeli athletes killed the munich olympics ,NUM:count
is scotch  people know difference  ,ENTY:termeq
was richard nixon born ,NUM:date
new york city landmark 168 steps its crown ,LOC:other
is bulls basketball team based ,LOC:other
is recomended age switch child a crib a bed ,NUM:period
rockefeller sometimes called  jdr3  ,HUM:ind
is sun closest the earth ,NUM:date
are chemical properties mendelevium ,DESC:desc
is average hours per months spent online aol users ,NUM:count
did friz freleng add the warner bros. cartoon ranks ,HUM:ind
is origin the word  sideburns  ,DESC:desc
trials resulting world war ii known what ,ENTY:event
started 1849 gold discovered sutter s mill ,ENTY:event
is first world country ,DESC:def
was shakespeare s moorish general ,HUM:ind
s second-highest mountain the world ,LOC:mount
country erich honecker leader ,LOC:country
does salt melt ice snow ,DESC:manner
two japanese cities spelled the letters k  o  o  t y ,LOC:city
does laser stand ,DESC:def
taught matt murdock use extraordinary abilities marvel comics ,HUM:ind
did wile e. coyote always get devices ,LOC:other
far away the moon ,NUM:dist
famous film tv cowboy lent name a fast food chain ,HUM:ind
is mandibulofacial dysostosis ,DESC:def
was reason the partition the anglican vatican churches ,DESC:reason
is butterfield 8 butterfield 8 ,DESC:def
famously rode warn people massachusetts the british coming ,HUM:ind
is dtmf ,ABBR:exp
name movie the actress  sandra bullock  a role .,ENTY:cremat
blew at lakehurst  new jersey  may 6  1977 ,ENTY:other
commanded french forces the battle orleans ,HUM:ind
can individual get contact lens tested burned entire surface eye new ,LOC:other
countries the mont blanc tunnel join ,LOC:country
ill-fated craft captained ernst lehmann ,ENTY:veh
did amtrak begin operations ,NUM:date
many bones in human hand ,NUM:count
many chemical elements there ,NUM:count
eastern state sprouted first commercial nuclear power plant the u.s. ,LOC:state
are three populated countries the world ,LOC:country
led opposition konrad adenauer chancellor germany ,HUM:ind
is current population these countries  france  spain  italy  greece  austria  germany  switzerland  netherlands ,NUM:count
is youngest age boy girl can an orgasm ,NUM:period
color the lipstick boy george s wax lips london s madame tussaud s ,ENTY:color
is origin the candy cane christmas ,DESC:desc
is brand name a chemical used control ripening ,ENTY:product
terror the sea johnny horton sing ,ENTY:animal
is largest office block the world ,LOC:other
turned he touched gold ,HUM:ind
is medical term cancer the blood ,ENTY:dismed
plays shortstop charlie brown s baseball team ,HUM:ind
country the romans call hibernia ,LOC:country
was most famous food editor the new york times ,HUM:ind
many dogs pull sled the iditarod ,NUM:count
s male witch called ,ENTY:termeq
long cocaine stay your system ,NUM:period
two countries fought hundred years  war ,LOC:country
was last u.s. president reinstate selective service registration ,HUM:ind
which dates the running the bulls occur pamplona  spain ,NUM:date
was name the lawyer represented randy steven craft ,HUM:ind
happens used motor oil ,DESC:desc
is most commonly used 1 letter word the english language ,ENTY:word
actress s autobiography titled shelley  also known shirley ,HUM:ind
many colors the 1940s collectible called donald duck rubber boat ,NUM:count
did 7th inning stretch get started ,DESC:manner
lived the shores the gitchee gumee river ,HUM:ind
did tristan come back ,ENTY:other
country will hit year 2 first ,LOC:country
colors make a rainbow ,ENTY:color
war johnny reb billy yank fight ,ENTY:event
is section manager guidance control systems jpl ,HUM:ind
is goldfinger s first name ,HUM:ind
square the geographical center london ,LOC:other
of following famous people not paint a hobby ,HUM:ind
is most populated city the world ,LOC:city
many pitchers occupy shelf beside crouching woman edgar degas s 1886 painting tub ,NUM:count
is cost the drugs used tuberculosis treatments ,NUM:money
does jessica mean ,ABBR:exp
famed gangland slaughter cut the membership bugs moran s outfit ,ENTY:event
ray charles best known playing instrument ,ENTY:instru
did victor hugo spend exile ,LOC:other
was nine tailors  television show 1974  ,DESC:desc
does elongated man know mystery afoot ,DESC:manner
food the three bears goldilocks eat ,ENTY:food
is boston kreme ,DESC:def
should call get tour the new york stock exchange ,HUM:ind
many airline schools there the u.s. ,NUM:count
u.s. general died december 1  1945  his jeep collided a truck ,HUM:ind
is swatch ,DESC:def
does ouija mean ,DESC:def
many major nazi leaders went trial the war nuremberg ,NUM:count
kind fish a coney ,ENTY:animal
state helen keller call home ,LOC:state
was name the director the movie  jaws  ,HUM:ind
steps can taken prevent diabetes ,DESC:desc
were first words spoken a film sound track ,DESC:desc
year etched the gold medal excellence the paris exposition depicted a can campbell s tomato soup ,NUM:date
country s royal house bourbon-parma ,LOC:country
film jude law ,ENTY:cremat
portrayed w.c. fields the film w.c. fields me ,HUM:ind
were ceremony traditions like the elizabethian times ,ENTY:other
college dikembe mutombo play basketball ,HUM:gr
is fear going bed ,ENTY:dismed
did saying  rule thumb  come ,DESC:desc
does sound travel quicker water air ,DESC:reason
much money the sultan brunei ,NUM:money
country you visit ski the dolomites ,LOC:country
month s third weekend the monterey jazz festival held ,NUM:date
is  global economy  ,DESC:def
built first successful stern wheel steamboat ,HUM:ind
is caul ,DESC:def
was hitler s minister propaganda ,HUM:ind
was first doctor successfully transplant liver ,HUM:ind
does theory quantum leaps mean simpler terms ,DESC:def
is bone marrow transplant ,DESC:def
is difference a classical an acoustic guitar ,DESC:desc
african capital named a u.s. president ,LOC:city
is name a language spoken the sioux ,ENTY:lang
mediterranean island home the first club med ,LOC:other
does edentulous smile lack ,ENTY:other
is fear jealousy ,ENTY:dismed
can find venus flytrap ,LOC:other
is largest sculpture the world ,ENTY:cremat
was john d. rockefeller born ,NUM:date
building built 18 contains 327 miles book shelves ,LOC:other
is home banking ,DESC:def
william makepeace thackeray novel made a film stanley kubrick ,ENTY:cremat
was lawyer randy steven craft ,HUM:ind
do hermit crabs reproduce ,DESC:manner
is reputed be greatest maker violins ,HUM:ind
do stop junk snail mail ,DESC:manner
future soviet dictator training be priest he got turned to marxism ,HUM:ind
long james bond like eggs boiled ,NUM:period
u.s. city s skyline boasts gateway arch ,LOC:city
is belize located ,LOC:other
s common name a japanese dwarf tree ,ENTY:termeq
did thomas paine write ,ENTY:cremat
sued dannon yougurt company using character named ron raider promotion ,HUM:ind
was first jockey ride two triple crown winners ,HUM:ind
lewis carroll book introduced humpty dumpty the world ,ENTY:cremat
wrote brave new world ,HUM:ind
state charles robb represent ,LOC:state
is hydroelectricity ,DESC:def
many people taller 7 feet ,NUM:count
wrote unsafe any speed ,HUM:ind
many islands make antigua ,NUM:count
does abacus work ,DESC:manner
causes rust ,DESC:reason
is fear the computer called ,ENTY:dismed
is technique popularly used detect birth defects ,ENTY:techmeth
u.s. state boasts stone mountain  world s largest mass exposed granite ,LOC:state
british commander surrendered george washington yorktown 1781 ,HUM:ind
according the kinsey institute  the sexual preference four percent american males ,DESC:desc
created world wide web  www ,HUM:ind
is procedure called drilling hole your skull acheive higher consciousness ,ENTY:techmeth
is name the president garmat u.s.a ,HUM:ind
was name the television show  starring karl madsen  had san francisco the title ,ENTY:cremat
were leaders the byzantine empire ,HUM:ind
was first president appoint woman head cabinet ,HUM:ind
is splatterpunk ,DESC:def
is orgin xoxoxox ,DESC:desc
built first pyramid ,HUM:gr
southeast asian country wang river joining the ping river tak ,LOC:country
italian city 155 leonardo da vinci  michaelangelo  machiavelli working ,LOC:city
color tennis balls used wimbledon ,ENTY:color
is 2-sided object called ,ENTY:termeq
name french fascist party .,HUM:gr
name french historical period the reign napoleon iii .,ENTY:event
movie made most money ,ENTY:cremat
is time ,DESC:def
many states a lottery ,NUM:count
is name the largest city chile  south america ,LOC:city
are caught if haboob blows ,ENTY:other
ratio children ages two eleven watch  simpsons  ,NUM:perc
many cities there utah ,NUM:count
famous meat company went of business it became known the underworld been selling kangaroo meat ,HUM:gr
many visitors go the vatican year ,NUM:count
is population mexico ,NUM:other
do get silly putty of fabric ,DESC:manner
is best online games site ,LOC:other
is word  abbreviation  long ,DESC:reason
century art s romantic period begin ,NUM:date
many spaces follow period the end a sentence ,NUM:count
is cake soap ,DESC:def
what year the berlin wall erected ,NUM:date
is weight a teaspoon matter a black hole ,NUM:weight
is approximate weight a teaspoon matter a black hole ,NUM:weight
does msg stand ,ABBR:exp
what avenue the original saks department store located ,LOC:other
does song anything goes take place ,LOC:other
was first zoo the u.s. ,LOC:other
far yaroslavl moscow ,NUM:dist
is april s gemstone ,ENTY:other
is present pope named ,HUM:ind
is nebbish is marvel s official mascot ,HUM:ind
powdered soft drink mix went space ,ENTY:food
did chinese emperor present the english soldier gordon recognition his services quelling rebellions ,ENTY:other
is one the languages spoken the sioux called ,ENTY:lang
many bytes in terabyte ,NUM:count
sang song  hooked a feeling  the dancing baby episode  ally mcbeal  ,HUM:ind
what ways ivan iv support russian expansion ,ENTY:techmeth
approximately much a teaspoon matter weigh a black hole ,NUM:weight
country s flag field green ,LOC:country
sport known hooligans ,ENTY:sport
was columbia pictures head forged actor cliff robertson s name a $1  000 check ,HUM:ind
was damocles ,HUM:desc
sport the first televised the u.s. ,ENTY:sport
name dondi s adoptive grandfather .,HUM:ind
was congress vienna ,NUM:date
are lyrics  smelly cat  ,DESC:desc
much folic acid a pregnant woman get day ,NUM:count
year the first automobile manufactured ,NUM:date
many colonies germany get keep world war ,NUM:count
many states a  lemon law  new automobiles ,NUM:count
whose biography maurice zolotow titled shooting star ,HUM:ind
concerts held new york week ,ENTY:event
movie groundshog day is the name the character played andie macdowell ,HUM:ind
are requirements becoming citizen australia ,DESC:desc
old benny carter ,NUM:period
are top ten all-time money making nfl teams ,HUM:gr
were hairy bank notes the fur trade ,ENTY:other
can read chiang kai-shek ,LOC:other
is idealab  ,DESC:def
country borders most others ,LOC:country
does e stand in equation e=mc2 ,ABBR:exp
river runs colorado  kansas  oklahoma ,LOC:other
airplane fawaz younis hijack ,ENTY:veh
is win rah ,DESC:def
is moon different sizes colors ,DESC:reason
college enlivens hanover  new hampshire ,HUM:gr
does vcr stand ,ABBR:exp
close cousin franklin d. theodore roosevelt ,DESC:manner
name novel written john steinbeck .,ENTY:cremat
was first american citizen awarded albert medal the society arts ,HUM:ind
doctor synonymous footwear foot care ,HUM:ind
do boats float ,DESC:manner
are shoe sizes o neal  jordan  mutombo  nba players ,NUM:other
founded unification church ,HUM:ind
many zeros there a trillion ,NUM:count
was name the crimean meeting roosevelt  churchill  stalin ,ENTY:event
are only players eligible score points roller derby called ,HUM:title
are statistics drunken drivers maryland ,NUM:other
ill-fated american general dragged bull terrier named willie world war ii ,HUM:ind
s score a forfeited baseball game ,NUM:other
does tuberculosis come ,LOC:other
invented lawnmower ,HUM:ind
can find lyrics r&b ,LOC:other
is name david letterman s dog ,ENTY:animal
u.s. senator played basketball the new york knicks ,HUM:ind
are titles some r-rated sony playstation games ,ENTY:sport
playing card symbolizes death ,ENTY:symbol
is urban legend ,DESC:def
is li l abner s last name ,HUM:ind
many liberty bells there ,NUM:count
two countries separated the bering strait ,LOC:country
is smartnet ,DESC:def
is synonym aspartame ,ENTY:termeq
jackson pollock of nationality ,LOC:country
are vermicilli  rigati  zitoni  tubetti ,DESC:def
name product is  your grocer s  your fingertips . ,ENTY:product
architect originated glass house designed chicago federal center a philosophy  less more   produced plans were forerunner the california ranch house ,HUM:ind
many russians landed the moon ,NUM:count
thrilled taste buds first - snickers 3 musketeers ,ENTY:food
animal buffalo wings come ,ENTY:animal
is purpose the sysrq key my computer keyboard ,DESC:reason
was franklin d. roosevelt stricken polio ,NUM:date
do find what allowed claim a contibution income tax purposes ,DESC:manner
do build solar car a high school experiment ,DESC:manner
on internet can get chemicals importers ,LOC:other
was first country put second woman space ,LOC:country
was 24-disc john gabel entertainer first example  1960 ,ENTY:other
is feudal system ,DESC:def
shared new york city apartment roger maris year hit 61 home runs ,HUM:ind
s geographic term the submerged fringe a continent ,ENTY:termeq
prison found ossining  new york ,LOC:other
country declared one-fifth its territory off-limits russians ,LOC:country
is main application sodium hydrosulfite ,DESC:desc
name story chris van allsburg the boy tries become a great sailor ,ENTY:cremat
are components polyester ,ENTY:other
product features frog says  dig em  ,ENTY:product
is director intergovernmental affairs the san diego county ,HUM:ind
hall fame pitcher started three world series games the new york yankees 1962 ,HUM:ind
is longest river the united states ,LOC:other
does channel espn stand ,ABBR:exp
river windsor castle ,LOC:other
is best brand a laptop computer ,ENTY:product
is natchitoches  louisiana ,LOC:other
do pointed letters mean a handwriting analyst ,DESC:def
political party sinn fein part ,HUM:gr
was franklin roosevelt s program economic recovery called the great depression ,ENTY:event
is name a greek god ,HUM:ind
s capital taiwan ,LOC:city
did englishman john hawkins begin selling new world colonists 1562 ,ENTY:other
is starting salary beginning lawyers ,NUM:money
was man s name was killed a duel aaron burr ,HUM:ind
did louis cartier invent aviator santos dumont 1940 ,ENTY:other
will california gas tax in year 2000 ,NUM:money
city served tempelhol airport ,LOC:city
directed first woody woodpecker cartoon ,HUM:ind
cnn an acronym what ,ABBR:exp
is origin the name igor ,DESC:desc
was first gilbert sullivan opera ,ENTY:cremat
two historical figures  fought other famous battle  have a food named them ,HUM:ind
in united states people live longest ,LOC:other
country 1998 the suicides regardless population size ,LOC:country
is price tuberculosis drugs ,NUM:money
was first minimum wage ,NUM:money
is difference a college a university ,DESC:desc
substance joseph priestley name its ability erase pencil marks ,ENTY:substance
are limits  self-defense  ,DESC:desc
can get product licensed the nba ,DESC:manner
fast food prepared a  secret blend 11 herbs spices  ,ENTY:food
effect a prism on light ,DESC:desc
many people lived nebraska the mid 1900s ,NUM:count
is software piracy ,DESC:def
year janet jackson s first album released ,NUM:date
do calculate change enthalpy a chemical reaction ,DESC:manner
name heroine  scruples  ,HUM:ind
many movies drew barrymore in ,NUM:count
tv character sired horse named thunder ,HUM:ind
are children s rights ,DESC:desc
is name the planet the ewoks live ,LOC:other
baseball player known charley hustle ,HUM:ind
killed lee harvey oswald ,HUM:ind
s symbol the zodiacal sign gemini ,ENTY:symbol
was red grange ,HUM:desc
hockey team wayne gretzky play ,HUM:gr
series trials followed world war ii ,ENTY:event
ivy league school plays home games palmer stadium ,HUM:gr
invented fax machine ,HUM:ind
wide the atlantic ocean ,NUM:dist
is element strontium purified ,DESC:manner
was eighth day following nones each month the roman calendar called ,ENTY:termeq
wrote poem starts  love lips they re wet wine red a warm desire  ,HUM:ind
singer s theme song when moon comes the mountain ,HUM:ind
did peabody sherman travel time ,DESC:manner
was santos-dumont ,HUM:desc
many meters in mile ,NUM:count
is fear money ,ENTY:dismed
how many soldiers died world war ii ,NUM:count
is rocky s bullwinkle s ever-lost friend ,HUM:ind
is robin williams ,HUM:desc
thought d never see poem lovely a tree ,HUM:ind
created  muppets  ,HUM:ind
do make dumplings ,DESC:manner
celestial body a diameter 864  000 miles ,LOC:other
operating system runs ibm-compatible machines called ,ENTY:termeq
was ventura county police department seized county s largest amount cocaine ever ,HUM:gr
is name the family circus s dog ,ENTY:animal
did martin luther post the church door wittenberg ,ENTY:other
is meaning the name kathryn ,DESC:def
name one the major gods hinduism .,HUM:ind
country borders denmark the south ,LOC:country
should do an ankle sprain ,DESC:desc
dropped 1  313 feet 1980 ,ENTY:other
is name the vaccine chicken pox ,ENTY:dismed
two us biochemists won nobel prize medicine 1992 ,HUM:ind
record company formed herb alpert jerry moss ,HUM:gr
do find answers all questions ,LOC:other
is thermal equilibrium ,DESC:def
is term behavior  appearance  expression violates accepted standards sexual morality ,ENTY:termeq
fast-food magnate s initials graced left sleeve the san diego padres  baseball uniforms 1984 ,HUM:gr
origin the typing practice sentence  now is the time all good men come the aid their country  ,DESC:desc
many neurons in human brain ,NUM:count
is fear reptiles ,ENTY:dismed
does knight ridder publish ,ENTY:cremat
city . kdge radio located ,LOC:city
can one see reims ,ENTY:other
is executioner determined ,DESC:manner
city bobby kennedy assassinated ,LOC:city
s highest possible bid contract bridge ,ENTY:other
is medical condition hypertension ,DESC:def
london museum features chamber horrors ,LOC:other
city served mccarren airport ,LOC:city
many lakes there the earth ,NUM:count
is doegs ,DESC:def
else considered the role luke skywalker george lucas casting star wars ,HUM:ind
long a fly live ,NUM:period
two major world religions began india ,ENTY:religion
many pounds there a stone ,NUM:weight
kind poisoning known plumbism ,ENTY:dismed
is greatest source  white  magic the marvel universe ,ENTY:other
do find my relatives on trail tears ,DESC:manner
amount folic acid an expectant mother take daily ,NUM:other
do select wine ,DESC:manner
was king signed magna carta ,HUM:ind
many miles it frankfurt  germany salzburg  austria ,NUM:count
many chairs shown vincent van gogh s 188 work artist s room arles ,NUM:count
is fear stings ,ENTY:dismed
jude law in movie ,ENTY:cremat
state the gulf mexico its lowest point five feet sea level ,LOC:state
was name robert fulton s famous steamboat ,ENTY:veh
can find case americans disabilities act 199 ,LOC:other
is leader india ,HUM:ind
is prophet is connected the dead sea ,HUM:ind
are chances pregnacy penis not penetrate the vagina ,NUM:perc
is infomatics ,DESC:def
is purpose bios ,DESC:reason
is keck telescope ,LOC:other
is name the kids  show canadian public tv the singing pineapple ,ENTY:cremat
are apartments saint john  new brunswick ,LOC:other
wrote  pit the pendulum  ,HUM:ind
country the mau mau uprising take place ,LOC:country
are good medical sites information ,LOC:other
does resurrectionist steal ,ENTY:other
did shea & gould law firm leave los angeles ,DESC:reason
is best art design school the world ,HUM:gr
two vegetables combined succotash ,ENTY:food
is incredible hulk reality ,HUM:ind
does nasa stand ,ABBR:exp
infectious disease kills most people worldwide ,ENTY:dismed
month the edmund fitzgerald sink ,NUM:date
manufacturers there texas ,HUM:gr
are presidents mexico indonesia ,HUM:ind
played al jolson the jolson story ,HUM:ind
is pig a poke ,DESC:def
were 196 summer olympics held ,LOC:other
is los vegas ,LOC:other
name country honecker lived .,LOC:country
u.s. state the finger lakes ,LOC:state
is cullion ,DESC:def
are ten safest american cities pedestrians ,LOC:city
tv detective craig stevens play ,HUM:ind
are most common causes death the u.s. ,DESC:reason
can find picture a blue meanie ,LOC:other
university fired angela davis ,HUM:gr
u.s. state the continental divide leave enter canada ,LOC:state
past 8 years have the mvp players the nhl ,HUM:ind
ad 999  sort celebrations  fears  there ,ENTY:other
played emperor palpatine star wars ,HUM:ind
s name the wilkes plantation gone the wind ,LOC:other
is universe flat  started an explosion  shouldn t it be sphere ,DESC:reason
is statistical abstract the united states online ,LOC:other
is barnstorming ,DESC:def
s dumbest domesticated animal ,ENTY:animal
was importance magellan ,DESC:desc
was brandenburg gate berlin built ,NUM:date
do have do get good grades school ,DESC:manner
whose husbands included conrad hilton jr.  michael wilding ,HUM:ind
